epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,497.735,0.61574,0.37403,0.86829,0.99051,0.99174,0.99492,0.82011,0.77511,0.37735,0.85612,0.0005942,0.0005942,0.0005942
73,504.917,0.59708,0.35882,0.85749,0.99173,0.99056,0.99467,0.84035,0.69146,0.35536,0.83893,0.0005744,0.0005744,0.0005744
74,511.678,0.57893,0.34977,0.84361,0.9998,0.99174,0.995,0.84506,0.66676,0.33677,0.83192,0.0005546,0.0005546,0.0005546
75,518.608,0.59025,0.35319,0.84637,0.9918,0.99906,0.995,0.84823,0.66779,0.34264,0.83089,0.0005348,0.0005348,0.0005348
76,525.665,0.60316,0.35925,0.84997,1,0.99938,0.995,0.84158,0.68314,0.3482,0.82922,0.000515,0.000515,0.000515
77,532.197,0.58034,0.35076,0.84345,0.99906,0.99174,0.995,0.84493,0.66758,0.32996,0.82843,0.0004952,0.0004952,0.0004952
78,538.895,0.58081,0.35184,0.84776,0.99716,0.99174,0.995,0.83819,0.66542,0.33801,0.82732,0.0004754,0.0004754,0.0004754
79,545.641,0.57006,0.3499,0.85099,0.9909,0.99174,0.99492,0.84545,0.66901,0.34042,0.82274,0.0004556,0.0004556,0.0004556
80,552.433,0.57064,0.3463,0.83855,1,0.99144,0.995,0.83777,0.68278,0.32943,0.8254,0.0004358,0.0004358,0.0004358
81,560.116,0.56456,0.33748,0.84109,1,0.99145,0.995,0.84321,0.68137,0.33312,0.82566,0.000416,0.000416,0.000416
82,568.057,0.55093,0.33836,0.84491,0.9918,0.99959,0.99492,0.84987,0.68423,0.33544,0.82403,0.0003962,0.0003962,0.0003962
83,576.986,0.55799,0.33486,0.84176,0.99118,1,0.99492,0.84656,0.67915,0.32919,0.82738,0.0003764,0.0003764,0.0003764
84,584.78,0.55375,0.33815,0.83783,0.9918,0.99918,0.99492,0.8406,0.71179,0.35059,0.82798,0.0003566,0.0003566,0.0003566
85,592.003,0.5462,0.32926,0.83687,0.99173,0.99085,0.99492,0.83126,0.70572,0.3479,0.82482,0.0003368,0.0003368,0.0003368
86,599.113,0.54972,0.3248,0.84722,1,0.99069,0.995,0.85321,0.64544,0.31927,0.82116,0.000317,0.000317,0.000317
87,605.991,0.5479,0.32646,0.83577,1,0.99161,0.995,0.85466,0.67029,0.31616,0.82431,0.0002972,0.0002972,0.0002972
88,613.106,0.54369,0.32395,0.84055,1,0.99144,0.995,0.85407,0.67258,0.31471,0.82614,0.0002774,0.0002774,0.0002774
89,620.577,0.52172,0.32087,0.83595,0.99879,0.99174,0.995,0.85553,0.66416,0.32816,0.82272,0.0002576,0.0002576,0.0002576
90,627.734,0.52273,0.3209,0.83859,0.99819,0.99174,0.995,0.85531,0.659,0.32818,0.82447,0.0002378,0.0002378,0.0002378
91,664.052,0.50322,0.30543,0.82924,1,0.98908,0.995,0.84611,0.68611,0.3347,0.82724,0.000218,0.000218,0.000218
92,671.007,0.48699,0.29683,0.82103,0.99179,0.99856,0.99492,0.84887,0.66243,0.33072,0.82891,0.0001982,0.0001982,0.0001982
93,678.144,0.48632,0.28828,0.81215,0.99178,0.99678,0.99492,0.84542,0.66863,0.32689,0.82956,0.0001784,0.0001784,0.0001784
94,685.796,0.4763,0.28551,0.80981,0.99111,1,0.99492,0.83953,0.6663,0.31638,0.82683,0.0001586,0.0001586,0.0001586
95,693.009,0.479,0.28595,0.81855,0.99133,1,0.99492,0.84976,0.65584,0.32218,0.82706,0.0001388,0.0001388,0.0001388
96,699.95,0.46917,0.27797,0.8119,1,0.99063,0.995,0.84835,0.66813,0.32498,0.82695,0.000119,0.000119,0.000119
97,706.549,0.45953,0.27896,0.81283,0.99084,1,0.99492,0.84794,0.66507,0.3222,0.82434,9.92e-05,9.92e-05,9.92e-05
98,712.854,0.45113,0.27547,0.81571,0.99173,0.99134,0.99492,0.84716,0.66084,0.32022,0.8253,7.94e-05,7.94e-05,7.94e-05
99,719.204,0.44579,0.26865,0.80948,0.99173,0.99115,0.99492,0.852,0.64233,0.32229,0.82179,5.96e-05,5.96e-05,5.96e-05
100,725.254,0.4459,0.26799,0.81144,0.99173,0.99107,0.99492,0.84601,0.65336,0.32297,0.82271,3.98e-05,3.98e-05,3.98e-05
